flex,acc-x,acc-y,acc-z,gyro-x,gyro-y,gyro-z
-9.201516,0.2603694,1.931522,-2.987805,3.445122,4.771342,0
-8.537724,3.505111,2.401384,21.77592,40.60976,168.0945,0
1.963844,9.403227,-2.443283,-34.14634,-6.310976,-7.865854,0
1.273715,9.243414,-1.037886,-2.339939,-3.544207,3.224085,0
-1.423952,9.754577,1.127669,-11.76067,-81.46342,5.289634,0
-2.335544,5.919664,4.754286,-239.3369,73.4375,109.0701,0
10.8996,3.663129,7.199365,45.00762,181.9893,56.16616,0
10.21426,0.4429273,0.6344634,-2.568598,4.314024,4.824695,0
10.10353,-0.1693898,1.076792,1.143293,-6.01372,-3.521342,0
9.414599,0.2047042,0.5285201,2.637195,3.16311,2.842988,0
9.48463,0.8433576,0.2837129,0.3429878,4.306403,-3.536585,0
10.11371,1.136049,0.5506664,3.429878,-3.78811,-10.52592,0
-4.028843,7.905654,5.74788,-42.51524,-33.58994,-28.72713,0
-2.797625,5.969942,9.181764,-45.47256,116.1585,24.03201,0
-2.259528,3.195062,8.917803,24.90854,19.94665,-23.91006,0
-2.901772,2.847304,6.279991,2.873476,-6.958842,-11.48628,0
-2.58095,3.22918,9.346964,1.128049,-0.8155488,-1.707317,0
-2.47321,3.191471,9.056067,5.152439,-1.028963,0.6783537,0
-2.3948,3.171719,9.229648,-0.1448171,-0.9146341,1.051829,0
-2.351705,3.160346,9.10455,-0.1981707,3.39939,-0.152439,0
-2.234389,3.174113,9.185953,-0.8231708,0.3125,-0.1371951,0
-2.212841,2.673725,9.14226,3.429878,4.306403,3.445122,0
-2.221221,3.301604,9.271546,4.222561,3.917683,2.347561,0
-2.226608,3.114856,9.381081,4.603659,-0.0152439,-1.28811,0
-2.273893,2.7252,9.628881,4.009146,0.2134146,4.6875,0
-2.127847,3.3447,8.787319,0.9984756,2.202744,-2.995427,0
-2.273893,3.123236,9.64564,-2.324695,0.05335366,6.722561,0
-2.053028,3.321955,9.424176,-1.044207,-3.82622,-2.881098,0
-2.139818,3.411139,9.086594,2.157012,-5.03811,0.1067073,0
